Name,Price,URL
"Kierkegaard: A Christian Missionary ...","£47.13","http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html"
"The Nicomachean Ethics","£36.34","http://books.toscrape.com/catalogue/meditations_33/index.html"
"Chase Me (Paris Nights ...","£25.27","http://books.toscrape.com/catalogue/page-2.html"
"Aladdin and His Wonderful ...","£53.13","http://books.toscrape.com/catalogue/page-2.html"
"Worlds Elsewhere: Journeys Around ...","£40.30","http://books.toscrape.com/catalogue/page-2.html"
"Wall and Piece","£44.18","http://books.toscrape.com/catalogue/page-2.html"
"The Four Agreements: A ...","£17.66","http://books.toscrape.com/catalogue/page-2.html"
"The Five Love Languages: ...","£31.05","http://books.toscrape.com/catalogue/page-2.html"
"The Bear and the ...","£36.89","http://books.toscrape.com/catalogue/page-2.html"
"Penny Maybe","£33.29","http://books.toscrape.com/catalogue/page-2.html"
"You can't bury them ...","£33.63","http://books.toscrape.com/catalogue/page-2.html"
"Proofs of God: Classical ...","£54.21","http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html"
"The Stranger","£17.44","http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html"
"The Death of Humanity: ...","£58.11","http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html"
"Sophie's World","£15.94","http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html"
"Alice in Wonderland (Alice's ...","£55.53","http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html"
"Emma","£32.93","http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html"
"Kierkegaard: A Christian Missionary ...","£47.13","http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html"
"Proofs of God: Classical ...","£54.21","http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html"
"The Stranger","£17.44","http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html"
"Sophie's World","£15.94","http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html"
"Alice in Wonderland (Alice's ...","£55.53","http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html"
"Private Paris (Private #10)","£47.61","http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html"
"I've Got Your Number","£19.69","http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html"
"We Love You, Charlie ...","£50.27","http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html"
"Private Paris (Private #10)","£47.61","http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html"
"Bridget Jones's Diary (Bridget ...","£29.82","http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html"
"I've Got Your Number","£19.69","http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html"
"The Murder That Never ...","£54.11","http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html"
"Thirst","£17.27","http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html"
"Private Paris (Private #10)","£47.61","http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html"
"The Edge of Reason ...","£19.18","http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html"
"Beyond Good and Evil","£43.38","http://books.toscrape.com/catalogue/black-dust_976/index.html"
"Run, Spot, Run: The ...","£20.02","http://books.toscrape.com/catalogue/black-dust_976/index.html"
"Finders Keepers (Bill Hodges ...","£53.53","http://books.toscrape.com/catalogue/the-time-keeper_766/index.html"
"The Regional Office Is ...","£51.36","http://books.toscrape.com/catalogue/the-time-keeper_766/index.html"
"The Vacationers","£42.15","http://books.toscrape.com/catalogue/the-time-keeper_766/index.html"
"The Murder That Never ...","£54.11","http://books.toscrape.com/catalogue/the-time-keeper_766/index.html"
"Thirst","£17.27","http://books.toscrape.com/catalogue/the-time-keeper_766/index.html"
"The Murder That Never ...","£54.11","http://books.toscrape.com/catalogue/the-vacationers_863/index.html"
"We Love You, Charlie ...","£50.27","http://books.toscrape.com/catalogue/the-vacationers_863/index.html"
"Bridget Jones's Diary (Bridget ...","£29.82","http://books.toscrape.com/catalogue/the-vacationers_863/index.html"
"Thirst","£17.27","http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html"
"We Love You, Charlie ...","£50.27","http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html"
"Private Paris (Private #10)","£47.61","http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html"
"Chase Me (Paris Nights ...","£25.27","http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html"
"Beyond Good and Evil","£43.38","http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html"
"The Nicomachean Ethics","£36.34","http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html"
"Run, Spot, Run: The ...","£20.02","http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html"
"The Time Keeper","£27.88","http://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html"
"The Regional Office Is ...","£51.36","http://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html"
"Tuesday Nights in 1980","£21.04","http://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html"
"Her Backup Boyfriend (The ...","£33.97","http://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html"
"Chase Me (Paris Nights ...","£25.27","http://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html"
"Meditations","£25.89","http://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html"
"The Time Keeper","£27.88","http://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html"
"Finders Keepers (Bill Hodges ...","£53.53","http://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html"
"The Vacationers","£42.15","http://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html"
"Her Backup Boyfriend (The ...","£33.97","http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html"
"Chase Me (Paris Nights ...","£25.27","http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html"
"Meditations","£25.89","http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html"
"The Nicomachean Ethics","£36.34","http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html"
"The First Hostage (J.B. ...","£25.85","http://books.toscrape.com/catalogue/take-me-with-you_741/index.html"
"The Testament of Mary","£52.67","http://books.toscrape.com/catalogue/take-me-with-you_741/index.html"
"The Vacationers","£42.15","http://books.toscrape.com/catalogue/take-me-with-you_741/index.html"
"Take Me with You","£45.21","http://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html"
"The Testament of Mary","£52.67","http://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html"
"Finders Keepers (Bill Hodges ...","£53.53","http://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html"
"Still Life with Bread ...","£26.41","http://books.toscrape.com/catalogue/shtum_733/index.html"
"Take Me with You","£45.21","http://books.toscrape.com/catalogue/shtum_733/index.html"
"The First Hostage (J.B. ...","£25.85","http://books.toscrape.com/catalogue/shtum_733/index.html"
"The Testament of Mary","£52.67","http://books.toscrape.com/catalogue/shtum_733/index.html"
"The Time Keeper","£27.88","http://books.toscrape.com/catalogue/shtum_733/index.html"
"Finders Keepers (Bill Hodges ...","£53.53","http://books.toscrape.com/catalogue/shtum_733/index.html"
"The Wedding Dress","£24.12","http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html"
"First and First (Five ...","£15.97","http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html"
"Her Backup Boyfriend (The ...","£33.97","http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html"
"Black Dust","£34.53","http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html"
"Fifty Shades Darker (Fifty ...","£21.96","http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html"
"Her Backup Boyfriend (The ...","£33.97","http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html"
"Black Dust","£34.53","http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html"
"Chase Me (Paris Nights ...","£25.27","http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html"
"Shtum","£55.84","http://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html"
"Take Me with You","£45.21","http://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html"
"The Testament of Mary","£52.67","http://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html"
"Suddenly in Love (Lake ...","£55.99","http://books.toscrape.com/catalogue/something-more-than-this_834/index.html"
"The Wedding Dress","£24.12","http://books.toscrape.com/catalogue/something-more-than-this_834/index.html"
"First and First (Five ...","£15.97","http://books.toscrape.com/catalogue/something-more-than-this_834/index.html"
"Run, Spot, Run: The ...","£20.02","http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html"
"Critique of Pure Reason","£20.75","http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html"
"At The Existentialist Café: ...","£29.93","http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html"
"Something More Than This","£16.24","http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html"
"Suddenly in Love (Lake ...","£55.99","http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html"
"The Wedding Dress","£24.12","http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html"
"The Edge of Reason ...","£19.18","http://books.toscrape.com/catalogue/thirst_946/index.html"
"Something More Than This","£16.24","http://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html"
"First and First (Five ...","£15.97","http://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html"
"My Name Is Lucy ...","£41.56","http://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html"
"The First Hostage (J.B. ...","£25.85","http://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html"
"Bridget Jones's Diary (Bridget ...","£29.82","http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html"
"The Edge of Reason ...","£19.18","http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html"
"I've Got Your Number","£19.69","http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html"
"Something Blue (Darcy & ...","£54.62","http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html"
"Something Borrowed (Darcy & ...","£48.96","http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html"
"The Devil Wears Prada ...","£44.29","http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html"
"The Wedding Dress","£24.12","http://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html"
"I Am Pilgrim (Pilgrim ...","£10.60","http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html"
"Mr. Mercedes (Bill Hodges ...","£28.90","http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html"
"My Mrs. Brown","£24.48","http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html"
"My Name Is Lucy ...","£41.56","http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html"
"Shtum","£55.84","http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html"
"Still Life with Bread ...","£26.41","http://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html"
"The Regional Office Is ...","£51.36","http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html"
"Tuesday Nights in 1980","£21.04","http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html"
"Thirst","£17.27","http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html"
"The Wedding Pact (The ...","£32.61","http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html"
"Doing It Over (Most ...","£35.61","http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html"
"Something More Than This","£16.24","http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html"
"The Wedding Dress","£24.12","http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html"
"Fifty Shades Darker (Fifty ...","£21.96","http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html"
"Off the Hook (Fishing ...","£47.67","http://books.toscrape.com/catalogue/sit-stay-love_486/index.html"
"Take Me Home Tonight ...","£53.98","http://books.toscrape.com/catalogue/sit-stay-love_486/index.html"
"Dirty (Dive Bar #1)","£40.83","http://books.toscrape.com/catalogue/sit-stay-love_486/index.html"
"Hold Your Breath (Search ...","£28.82","http://books.toscrape.com/catalogue/sit-stay-love_486/index.html"
"The Wedding Pact (The ...","£32.61","http://books.toscrape.com/catalogue/sit-stay-love_486/index.html"
"Dear Mr. Knightley","£11.21","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Balloon Animals","£17.03","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"A Man Called Ove","£39.72","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"The Silent Sister (Riley ...","£46.29","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"The Improbability of Love","£59.45","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Mothering Sunday","£13.34","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Lies and Other Acts ...","£45.14","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Daredevils","£16.34","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"The Shack","£28.03","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"The High Mountains of ...","£51.15","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Miller's Valley","£58.54","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"The Bourne Identity (Jason ...","£42.78","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Sister Dear","£40.20","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"Memoirs of a Geisha","£49.67","http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html"
"A Girl's Guide to ...","£31.30","http://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html"
"Sit, Stay, Love","£20.90","http://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html"
"A Gentleman's Position (Society ...","£14.75","http://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html"
"Dark Lover (Black Dagger ...","£12.87","http://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html"
"The Perfect Play (Play ...","£59.99","http://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html"
"A Girl's Guide to ...","£31.30","http://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html"
"A Gentleman's Position (Society ...","£14.75","http://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html"
"Take Me Home Tonight ...","£53.98","http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html"
"Dirty (Dive Bar #1)","£40.83","http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html"
"Hold Your Breath (Search ...","£28.82","http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html"
"The Wedding Pact (The ...","£32.61","http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html"
"Doing It Over (Most ...","£35.61","http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html"
"Something More Than This","£16.24","http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html"
"Off the Hook (Fishing ...","£47.67","http://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html"
"Take Me Home Tonight ...","£53.98","http://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html"
"Dirty (Dive Bar #1)","£40.83","http://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html"
"Sit, Stay, Love","£20.90","http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html"
"A Gentleman's Position (Society ...","£14.75","http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html"
"Off the Hook (Fishing ...","£47.67","http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html"
"Take Me Home Tonight ...","£53.98","http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html"
"Hold Your Breath (Search ...","£28.82","http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html"
"A Gentleman's Position (Society ...","£14.75","http://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html"
"Take Me Home Tonight ...","£53.98","http://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html"
"The Purest Hook (Second ...","£12.25","http://books.toscrape.com/catalogue/category/books/romance_8/page-2.html"
"Where Lightning Strikes (Bleeding ...","£39.77","http://books.toscrape.com/catalogue/category/books/romance_8/page-2.html"
"This One Moment (Pushing ...","£48.71","http://books.toscrape.com/catalogue/category/books/romance_8/page-2.html"
"Fighting Fate (Fighting #6)","£39.24","http://books.toscrape.com/catalogue/category/books/romance_8/page-2.html"
"Charity's Cross (Charles Towne ...","£41.24","http://books.toscrape.com/catalogue/category/books/romance_8/page-2.html"
"Bounty (Colorado Mountain #7)","£37.26","http://books.toscrape.com/catalogue/category/books/romance_8/page-2.html"
"Forever and Forever: The ...","£29.69","http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html"
"Delivering the Truth (Quaker ...","£20.89","http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html"
"The Widow","£27.26","http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html"
"Boar Island (Anna Pigeon ...","£59.48","http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html"
"The House by the ...","£36.95","http://books.toscrape.com/catalogue/mrs-houdini_821/index.html"
"A Flight of Arrows ...","£55.53","http://books.toscrape.com/catalogue/mrs-houdini_821/index.html"
"Forever and Forever: The ...","£29.69","http://books.toscrape.com/catalogue/mrs-houdini_821/index.html"
"The Bachelor Girl's Guide ...","£52.30","http://books.toscrape.com/catalogue/mrs-houdini_821/index.html"
"Lilac Girls","£17.28","http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html"
"Glory over Everything: Beyond ...","£45.84","http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html"
"A Paris Apartment","£39.01","http://books.toscrape.com/catalogue/lilac-girls_597/index.html"
"Glory over Everything: Beyond ...","£45.84","http://books.toscrape.com/catalogue/lilac-girls_597/index.html"
"Mrs. Houdini","£30.25","http://books.toscrape.com/catalogue/lilac-girls_597/index.html"
"Mrs. Houdini","£30.25","http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html"
"A Flight of Arrows ...","£55.53","http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html"
"Delivering the Truth (Quaker ...","£20.89","http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html"
"The Bachelor Girl's Guide ...","£52.30","http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html"
"What Happened on Beale ...","£25.37","http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html"
"Playing with Fire","£13.71","http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html"
"The Widow","£27.26","http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html"
"World Without End (The ...","£32.97","http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html"
"The Invention of Wings","£37.34","http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html"
"The Constant Princess (The ...","£16.62","http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html"
"Lilac Girls","£17.28","http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html"
"A Paris Apartment","£39.01","http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html"
"Love, Lies and Spies","£20.55","http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html"
"The Constant Princess (The ...","£16.62","http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html"
"Lilac Girls","£17.28","http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html"
"The Invention of Wings","£37.34","http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html"
"The Constant Princess (The ...","£16.62","http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html"
"A Paris Apartment","£39.01","http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html"
